Catalog Number,Nationality,Sex,Art_type,Name,Catalog Number2,Description,Image Source
Q273511,Finnish,Female,"Artist, Architect, Designer",Aino Marsio Aalto,500024110,"
Aino Maria Marsio-Aalto (born Aino Maria Mandelin; 25 January 1894 – 13 January 1949) was a Finnish architect and a pioneer of Scandinavian design. She is known as a co-founder of the design company Artek and as a collaborator on its most well-known designs. As Artek's first artistic director, her creative output spanned textiles, lamps, glassware, and buildings.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTYvMDkvMzAvOGtyZDB4YnNjcF9BRDUzMV9DQ0NSX2xldmVscy5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/AD531_CCCR_levels.jpg?sha=00d9ad35a9f2ed07
Q82840,"Finnish, Scandinavian",Male,"Artist, Architect, Designer, Furniture Designer, Glass Designer, Decorative Artist","Alvar Aalto, Hugo Alvar Henrik Aalto, Aruvā Āruto",500002617,"
Hugo Alvar Henrik Aalto (pronounced [ˈhuɡo ˈɑlʋɑr ˈhenrik ˈɑːlto]; 3 February 1898 – 11 May 1976) was a Finnish architect and designer. His work includes architecture, furniture, textiles and glassware, as well as sculptures and paintings, though he never regarded himself as an artist, seeing painting and sculpture as ""branches of the tree whose trunk is architecture."" Aalto's early career runs in parallel with the rapid economic growth and industrialization of Finland during the first half of the twentieth century and many of his clients were industrialists; among these were the Ahlström-Gullichsen family. The span of his career, from the 1920s to the 1970s, is reflected in the styles of his work, ranging from Nordic Classicism of the early work, to a rational International Style Modernism during the 1930s to a more organic modernist style from the 1940s onwards. What is typical for his entire career, however, is a concern for design as a Gesamtkunstwerk, a total work of art; whereby he – together with his first wife Aino Aalto – would design not just the building, but give special treatments to the interior surfaces and design furniture, lamps, and furnishings and glassware. His furniture designs are considered Scandinavian Modern, in the sense of a concern for materials, especially wood, and simplification but also technical experimentation, which led to him receiving patents for various manufacturing processes, such as bent wood. The Alvar Aalto Museum, designed by Aalto himself, is located in what is regarded as his home city Jyväskylä.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTYvMDkvMzAvOGtyZDB4YnNjcF9BRDUzMV9DQ0NSX2xldmVscy5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/AD531_CCCR_levels.jpg?sha=00d9ad35a9f2ed07
Q707025,Finnish,Male,"Artist, Designer, Furniture Designer",Eero Aarnio,500270610,"
Eero Aarnio (born 21 July 1932, in Helsinki) is a Finnish interior designer, noted for his innovative furniture designs in the 1960s, such as his plastic and fibreglass chairs.

Aarnio studied at the Institute of Industrial Arts in Helsinki, and started his own office in 1962. The following year, he introduced his Ball Chair, a hollow sphere on a stand, open on one side to allow a person to sit within. The similar Bubble Chair was clear and suspended from above. Other innovative designs included his Pastil Chair (a beanbag-like molded armchair), and Tomato Chair (a seat molded between three supporting spheres). His Screw Table, as the name suggests, had the appearance of a flat head screw driven into the ground. He was awarded the American Industrial Design award in 1968.
Aarnio's designs were an important aspect of 1960s popular culture, and could often be seen as part of sets in period science-fiction films. Because his designs used very simple geometric forms, they were ideal for such productions.
Eero Aarnio continues to create new designs, including toys and furniture for children. Eero Aarnio opened his official webshop and first Design Eero Aarnio Showroom, in Helsinki. There you can find Aarnio`s latest design, prototypes and latest news.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTUvMTAvMjAvNnZtaWUyZjI1c19DZW50dXJ5b2Z0aGVDaGlsZC5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/CenturyoftheChild.jpg?sha=174ad46365baf219
Q158080,"Polish, American, Central European, Eastern European",Female,"Artist, Weaver, Painter, Sculptor, Textile Artist","Magdalena Abakanowicz, Magdalena Abakanowicz Kosmowski",500084577,"
Marta Magdalena Abakanowicz-Kosmowska (20 June 1930 – 20 April 2017) was a Polish sculptor and fiber artist. She is notable for her use of textiles as a sculptural medium. She is widely regarded as one of Poland's most internationally acclaimed artists. She was a professor at the Academy of Fine Arts in Poznań, Poland from 1965 to 1990 and a visiting professor at University of California, Los Angeles in 1984.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTcvMDMvMzEva2xzcHM0aGx1X3RyMTU2NTkuMzRfZnJlaXJlLmpwZyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UiXV0/tr15659.34_freire.jpg?sha=507c3bd561409213
Q231861,American,Female,"Artist, Photographer","Berenice Abbott, Berenice Abbot",500020631,"
Berenice Abbott (July 17, 1898 – December 9, 1991), née Bernice Alice Abbott, was an American photographer best known for her portraits of between-the-wars 20th century cultural figures, New York City photographs of architecture and urban design of the 1930s, and science interpretation in the 1940s to 1960s.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTgvMTAvMzEvN2x2bHhrZzEyZF9LaXJzdGVpbi5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/Kirstein.jpg?sha=6f63776e566260fc
Q78819,"Austrian, American",Male,"Artist, Architect, Teacher","Raimund Abraham, Raimund J. Abraham, Raimund Johann Abraham",500031964,"
Raimund Johann Abraham (July 23, 1933 – March 4, 2010) was an Austrian architect.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTUvMTAvMjEvMWRkazlpOXg4dl9lbmRsZXNzLmpwZyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UiXV0/endless.jpg?sha=c19c848e758c3dfd
Q11714362,British,Male,"Artist, Sculptor",Ivor Abrahams,500012378,"
Ivor Abrahams RA (10 January 1935 – 6 January 2015) was a British sculptor, ceramicist and print maker best known for his polychrome sculptures and his stylised prints of garden scenes. His career long exploration of new subject matter, novel techniques and materials made his art dealer, James Mayor, describe him as Europe's equivalent of Robert Rauschenberg.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjM2MjgyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=5ce1e7ba851c3e9c
Q47496,"Serbian, Yugoslav",Female,"Artist, Installation Artist, Performance Artist, Sculptor, Video Artist","Marina Abramović, Marina Abramovic",500115967,"
Marina Abramović (Serbian Cyrillic: Марина Абрамовић, pronounced [marǐːna abrǎːmoʋitɕ]; born November 30, 1946) is a Serbian performance artist, writer and art film director and producer. Her work explores body art, endurance art and feminist art, the relationship  between performer and audience, the limits of the body, and the possibilities of the mind. Being active for over four decades, Abramović refers to herself as the ""grandmother of performance art"". She pioneered a new notion of identity by bringing in the participation of observers, focusing on ""confronting pain, blood, and physical limits of the body"".
",https://www.moma.org/d/assets/W1siZiIsIjIwMTUvMTAvMjMvN3ZndWFleXZ1Zl9qdWFuZG93bmV5LmpwZyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UiXV0/juandowney.jpg?sha=0aac817c91f356c4
Q541862,German,Female,"Artist, Painter",Tomma Abts,500126116,"
Tomma Abts (born 1967) is a German-born visual artist known for her abstract oil paintings. Abts won the Turner Prize in 2006. She currently lives and works in London, England.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjI0MDM0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=b442fb33936d406c
Q7357131,Guatemalan,Male,"Artist, Painter",Rodolfo Abularach,500118427,"
Rodolfo Abularach (born January 7, 1933 in Guatemala City, Guatemala) is a Guatemalan painter and printmaker of Palestinian descent. His work focuses mainly on the human eye. He attended the Escuela Nacional de las Artes Plásticas in Guatemala City starting in 1947 and graduating in 1954. Later on, he studied in New York City on a Guatemalan government grant, studying at the Arts Student League and Graphic Arts center.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTYvMDgvMDQvOWlicG90Ymx0el84NF8xOTcwX0NDQ1IuanBnIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMjU2eDI1Nlx1MDAzZSJdXQ/84_1970_CCCR.jpg?sha=229ed4f59e2bb30f
